start_date_local,type,name,distance,moving_time,total_elevation_gain,average_speed,max_speed,average_heartrate,max_heartrate
2021-09-30T11:19:15Z,Hike,Afternoon Hike,4472.1,3830,235.0,1.168,2.4,97.6,128.0
2021-09-29T17:18:40Z,Hike,Evening Hike,6017.3,4580,412.0,1.314,4.7,128.6,185.0
2021-09-29T16:03:38Z,Hike,Evening Hike,1757.3,1550,50.0,1.134,3.0,93.6,118.0
2021-09-29T13:27:04Z,Hike,Afternoon Hike,3393.1,3367,61.4,1.008,2.9,85.9,113.0
2021-09-29T08:58:59Z,Hike,Morning Hike,9408.4,8533,194.0,1.103,3.0,99.6,138.0
2021-09-28T14:43:21Z,Hike,Afternoon Hike,10287.0,9027,317.0,1.14,2.7,100.5,135.0
2021-09-27T13:48:07Z,Hike,Afternoon Hike,5500.5,5957,422.0,0.923,3.1,115.9,191.0
2021-09-27T09:15:19Z,Hike,Morning Hike,5024.6,4528,272.0,1.11,2.0,101.9,153.0
2021-09-26T10:24:46Z,Hike,Morning Hike,5564.0,3782,194.0,1.471,4.0,114.1,161.0
2021-09-25T16:30:27Z,Hike,Evening Hike,1866.4,2106,55.0,0.886,2.1,89.4,118.0
2021-09-25T15:24:57Z,Hike,Evening Hike,786.1,672,6.0,1.17,1.9,94.6,116.0
2021-09-25T13:21:37Z,Hike,Afternoon Hike,4206.3,3829,106.0,1.099,2.6,106.4,143.0
2021-09-25T09:39:10Z,Hike,Morning Hike,9037.1,6864,219.0,1.317,4.1,102.9,173.0
2021-09-24T14:13:04Z,Hike,Afternoon Hike,9500.2,8169,364.0,1.163,5.7,105.7,176.0
2021-09-24T12:32:49Z,Hike,Afternoon Hike,3874.2,2937,42.0,1.319,2.1,87.6,119.0
2021-09-24T11:04:35Z,Hike,Afternoon Hike,2602.7,2262,50.0,1.151,3.0,104.7,130.0
2021-09-23T10:08:49Z,Hike,Morning Hike,2228.3,2209,69.0,1.009,2.2,92.3,130.0
2021-09-22T09:56:41Z,Hike,Morning Hike,4248.3,3072,232.0,1.383,3.8,125.8,168.0
2021-09-20T14:19:04Z,Hike,Afternoon Hike,1238.3,1079,106.0,1.148,7.1,105.0,140.0
2021-09-19T13:20:21Z,Walk,Afternoon Walk,2308.9,2060,15.0,1.121,3.0,83.9,114.0
2021-09-19T11:42:17Z,Walk,Afternoon Walk,3174.3,2678,33.0,1.185,2.2,85.4,108.0
